fips,county_name,state,population,land_area_sq_mi,population_density_per_sq_mi
46093,Meade County,SD,30711,3470.93,8.85
46095,Mellette County,SD,2137,1307.31,1.63
46097,Miner County,SD,2281,570.17,4.0
46099,Minnehaha County,SD,212691,806.86,263.6
46101,Moody County,SD,6632,519.38,12.77
46102,Oglala Lakota County,SD,13338,2093.6,6.37
46103,Pennington County,SD,116792,2776.76,42.06
46105,Perkins County,SD,2853,2870.46,0.99
46107,Potter County,SD,2377,861.14,2.76
46109,Roberts County,SD,10255,1101.06,9.31
46111,Sanborn County,SD,2388,569.24,4.2
46115,Spink County,SD,6155,1503.5,4.09
46117,Stanley County,SD,3018,1444.44,2.09
46119,Sully County,SD,1479,1006.73,1.47
46121,Todd County,SD,8863,1388.59,6.38
46123,Tripp County,SD,5708,1612.29,3.54
46125,Turner County,SD,9314,617.06,15.09
46127,Union County,SD,17402,460.76,37.77
46129,Walworth County,SD,5217,707.46,7.37
46135,Yankton County,SD,23635,521.19,45.35
46137,Ziebach County,SD,2389,1961.25,1.22
47001,Anderson County,TN,82066,337.21,243.37
47003,Bedford County,TN,55273,473.64,116.7
47005,Benton County,TN,16183,394.31,41.04
47007,Bledsoe County,TN,15920,406.56,39.16
47009,Blount County,TN,143820,558.84,257.35
47011,Bradley County,TN,115465,328.76,351.21
47013,Campbell County,TN,40290,480.19,83.9
47015,Cannon County,TN,15296,265.63,57.58
47017,Carroll County,TN,29200,597.66,48.86
47019,Carter County,TN,57361,341.29,168.07
47021,Cheatham County,TN,42778,302.5,141.42
47023,Chester County,TN,17994,285.74,62.97
47025,Claiborne County,TN,33229,434.64,76.45
47027,Clay County,TN,7821,236.53,33.07
47029,Cocke County,TN,37889,436.14,86.87
47031,Coffee County,TN,62419,428.96,145.51
47033,Crockett County,TN,14006,265.53,52.75
47035,Cumberland County,TN,66300,681.31,97.31
47037,Davidson County,TN,745904,503.52,1481.38
47039,Decatur County,TN,11820,333.88,35.4
47041,DeKalb County,TN,21873,304.43,71.85
47043,Dickson County,TN,58662,489.9,119.74
47045,Dyer County,TN,36320,512.35,70.89
47047,Fayette County,TN,45071,704.12,64.01
47049,Fentress County,TN,20322,498.61,40.76
47051,Franklin County,TN,45579,554.5,82.2
47053,Gibson County,TN,51779,602.75,85.91
47055,Giles County,TN,31433,610.93,51.45
47057,Grainger County,TN,25739,280.59,91.73
47059,Greene County,TN,73831,622.17,118.67
47061,Grundy County,TN,14116,360.44,39.16
47063,Hamblen County,TN,68843,161.19,427.1
47065,Hamilton County,TN,390833,542.16,720.87
47067,Hancock County,TN,7075,222.32,31.82
47069,Hardeman County,TN,25274,667.77,37.85
47071,Hardin County,TN,27983,577.49,48.46
47073,Hawkins County,TN,59559,487.06,122.28
47075,Haywood County,TN,17042,533.11,31.97
47077,Henderson County,TN,28518,520.01,54.84
47079,Henry County,TN,32896,561.9,58.54
47081,Hickman County,TN,26219,612.48,42.81
47083,Houston County,TN,8479,200.29,42.33
47085,Humphreys County,TN,19646,530.76,37.01
47087,Jackson County,TN,12466,308.81,40.37
47089,Jefferson County,TN,60024,275.15,218.15
47091,Johnson County,TN,18718,298.44,62.72
47093,Knox County,TN,511453,508.32,1006.15
47095,Lake County,TN,6249,165.78,37.69
47097,Lauderdale County,TN,24617,471.89,52.17
47099,Lawrence County,TN,46914,617.13,76.02
47101,Lewis County,TN,13487,282.09,47.81
47103,Lincoln County,TN,36853,570.34,64.62
47105,Loudon County,TN,63764,229.27,278.12
47107,McMinn County,TN,57404,430.12,133.46
47109,McNairy County,TN,26236,562.85,46.61
47111,Macon County,TN,27663,307.14,90.07
47113,Madison County,TN,100790,557.17,180.9
47115,Marion County,TN,29804,498.25,59.82
47117,Marshall County,TN,38071,375.46,101.4
47119,Maury County,TN,118131,613.08,192.68
47121,Meigs County,TN,14186,195.13,72.7
47123,Monroe County,TN,49730,635.77,78.22
47125,Montgomery County,TN,249935,539.17,463.56
47127,Moore County,TN,6920,129.22,53.55
47129,Morgan County,TN,22160,522.18,42.44
47131,Obion County,TN,30067,544.85,55.18
47133,Overton County,TN,23787,433.49,54.87
47135,Perry County,TN,9126,414.76,22.0
47137,Pickett County,TN,5219,162.97,32.02
47139,Polk County,TN,18592,434.61,42.78
47141,Putnam County,TN,86612,401.11,215.93
47143,Rhea County,TN,34844,315.49,110.44
47145,Roane County,TN,57395,360.77,159.09
47147,Robertson County,TN,80175,476.34,168.32
47149,Rutherford County,TN,386352,619.55,623.6
47151,Scott County,TN,22671,532.3,42.59
47153,Sequatchie County,TN,17861,265.85,67.18
47155,Sevier County,TN,101342,592.52,171.04
47157,Shelby County,TN,910226,752.77,1209.16
47159,Smith County,TN,20981,314.28,66.76
47161,Stewart County,TN,14439,459.78,31.4
47163,Sullivan County,TN,163759,413.55,395.99
47165,Sumner County,TN,215538,529.45,407.1
47167,Tipton County,TN,62287,455.61,136.71
47169,Trousdale County,TN,12623,114.34,110.4
47171,Unicoi County,TN,17856,186.06,95.97
47173,Union County,TN,21450,223.58,95.94
47175,Van Buren County,TN,6874,273.42,25.14
47177,Warren County,TN,43717,432.67,101.04
47179,Washington County,TN,141199,326.55,432.4
